time: [0.0, 0.6, 1.2, 1.8, 2.4, 3.0, 3.6, 4.2, 4.8, 5.4, 6.0, 6.6, 7.2, 7.8, 8.4, 9.0, 9.6, 10.2, 10.8, 11.4, 12.0, 12.6, 13.2, 13.8, 14.4, 15.0, 15.6, 16.2, 16.8, 17.4, 18.0, 18.6, 19.2, 19.8, 20.4, 21.0, 21.6, 22.2, 22.8, 23.4, 24.0, 24.6]
10.10.10.1 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168.95999999999998, 350.59199999999953, 329.4719999999996, 304.12799999999964, 152.06400000000002, 413.9519999999994, 287.2319999999997, 270.33599999999973, 173.18399999999997, 244.9919999999998, 456.19199999999927, 473.0879999999992, 295.67999999999967, 168.95999999999998, 325.2479999999996, 261.88799999999975, 308.35199999999963, 270.33599999999973, 397.0559999999994, 413.9519999999994, 439.2959999999993, 443.5199999999993, 388.60799999999944, 337.91999999999956, 418.17599999999936, 511.10399999999913, 430.84799999999933, 295.67999999999967, 211.19999999999987, 278.7839999999997, 240.7679999999998, 190.07999999999993]
10.10.1.1 [63.36000000000003, 63.36000000000003, 63.36000000000003, 63.36000000000003, 63.36000000000003, 63.36000000000003, 63.36000000000003, 63.36000000000003, 50.68800000000002, 42.24000000000001, 38.016000000000005, 33.792, 42.24000000000001, 16.896, 12.672, 25.344, 21.12, 33.792, 33.792, 12.672, 46.46400000000001, 33.792, 33.792, 25.344, 42.24000000000001, 29.568, 29.568, 38.016000000000005, 50.68800000000002, 38.016000000000005, 16.896, 42.24000000000001, 29.568, 16.896, 33.792, 38.016000000000005, 33.792, 38.016000000000005, 33.792, 29.568, 29.568, 16.896]
10.10.5.1 [0, 0, 0, 0, 0, 88.70400000000005, 312.5759999999996, 308.35199999999963, 299.90399999999966, 244.9919999999998, 143.61600000000004, 109.82400000000007, 118.27200000000008, 135.16800000000006, 118.27200000000008, 101.37600000000006, 118.27200000000008, 236.5439999999998, 215.42399999999986, 160.512, 206.97599999999989, 118.27200000000008, 84.48000000000005, 147.84000000000003, 190.07999999999993, 156.288, 143.61600000000004, 42.24000000000001, 177.40799999999996, 109.82400000000007, 105.60000000000007, 130.94400000000007, 164.736, 88.70400000000005, 152.06400000000002, 219.64799999999985, 232.31999999999982, 135.16800000000006, 101.37600000000006, 139.39200000000005, 168.95999999999998, 109.82400000000007]
10.10.6.1 [0, 0, 0, 0, 0, 0, 92.92800000000005, 308.35199999999963, 278.7839999999997, 206.97599999999989, 92.92800000000005, 76.03200000000004, 164.736, 130.94400000000007, 118.27200000000008, 177.40799999999996, 122.49600000000008, 139.39200000000005, 198.5279999999999, 97.15200000000006, 223.87199999999984, 118.27200000000008, 97.15200000000006, 177.40799999999996, 126.72000000000008, 139.39200000000005, 228.09599999999983, 173.18399999999997, 198.5279999999999, 130.94400000000007, 97.15200000000006, 105.60000000000007, 97.15200000000006, 109.82400000000007, 92.92800000000005, 143.61600000000004, 143.61600000000004, 215.42399999999986, 63.36000000000003, 118.27200000000008, 173.18399999999997, 101.37600000000006]
10.10.13.1 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.672, 287.2319999999997, 295.67999999999967, 413.9519999999994, 409.7279999999994, 422.39999999999935, 325.2479999999996, 156.288, 413.9519999999994, 367.4879999999995, 363.2639999999995, 481.5359999999992, 346.36799999999954, 202.7519999999999, 211.19999999999987, 304.12799999999964, 325.2479999999996, 219.64799999999985, 375.93599999999947, 447.7439999999993, 321.0239999999996, 291.4559999999997, 468.86399999999924, 266.11199999999974, 435.0719999999993, 460.41599999999926, 270.33599999999973, 325.2479999999996, 219.64799999999985, 80.25600000000004]
10.10.12.1 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 350.59199999999953, 346.36799999999954, 270.33599999999973, 384.38399999999945, 371.7119999999995, 426.62399999999934, 130.94400000000007, 105.60000000000007, 261.88799999999975, 375.93599999999947, 202.7519999999999, 325.2479999999996, 502.65599999999915, 109.82400000000007, 287.2319999999997, 249.21599999999978, 473.0879999999992, 266.11199999999974, 71.80800000000004, 308.35199999999963, 342.14399999999955, 147.84000000000003, 291.4559999999997, 198.5279999999999, 359.0399999999995, 405.5039999999994, 367.4879999999995, 371.7119999999995, 304.12799999999964, 257.66399999999976]
10.10.3.1 [0, 0, 0, 33.792, 308.35199999999963, 312.5759999999996, 308.35199999999963, 308.35199999999963, 283.0079999999997, 261.88799999999975, 190.07999999999993, 249.21599999999978, 181.63199999999995, 152.06400000000002, 46.46400000000001, 97.15200000000006, 63.36000000000003, 164.736, 202.7519999999999, 114.04800000000007, 253.43999999999977, 97.15200000000006, 63.36000000000003, 122.49600000000008, 190.07999999999993, 92.92800000000005, 130.94400000000007, 109.82400000000007, 50.68800000000002, 71.80800000000004, 139.39200000000005, 228.09599999999983, 198.5279999999999, 164.736, 244.9919999999998, 190.07999999999993, 190.07999999999993, 185.85599999999994, 126.72000000000008, 206.97599999999989, 84.48000000000005, 0]
10.10.2.1 [0, 0, 0, 283.0079999999997, 308.35199999999963, 312.5759999999996, 308.35199999999963, 312.5759999999996, 266.11199999999974, 266.11199999999974, 236.5439999999998, 190.07999999999993, 173.18399999999997, 160.512, 152.06400000000002, 228.09599999999983, 160.512, 223.87199999999984, 177.40799999999996, 152.06400000000002, 118.27200000000008, 181.63199999999995, 152.06400000000002, 194.30399999999992, 253.43999999999977, 190.07999999999993, 257.66399999999976, 135.16800000000006, 147.84000000000003, 181.63199999999995, 156.288, 202.7519999999999, 198.5279999999999, 160.512, 236.5439999999998, 185.85599999999994, 168.95999999999998, 173.18399999999997, 156.288, 122.49600000000008, 0, 0]
10.10.7.1 [0, 0, 0, 0, 0, 0, 0, 135.16800000000006, 261.88799999999975, 223.87199999999984, 156.288, 173.18399999999997, 168.95999999999998, 190.07999999999993, 160.512, 181.63199999999995, 122.49600000000008, 173.18399999999997, 181.63199999999995, 97.15200000000006, 160.512, 206.97599999999989, 143.61600000000004, 240.7679999999998, 215.42399999999986, 168.95999999999998, 156.288, 84.48000000000005, 164.736, 147.84000000000003, 156.288, 156.288, 194.30399999999992, 135.16800000000006, 206.97599999999989, 143.61600000000004, 156.288, 97.15200000000006, 88.70400000000005, 135.16800000000006, 185.85599999999994, 109.82400000000007]
